"Date","Description","Original Description","Amount","Transaction Type","Category","Account Name","Labels","Notes"
"5/16/2023","Withdrawal ACH PAYPAL TYPE: INST XFER ID: PAYPALSI77 CO: PAYPAL NAME: CHRISTA SMILEY","Withdrawal ACH PAYPAL TYPE: INST XFER ID: PAYPALSI77 CO: PAYPAL NAME: CHRISTA SMILEY","28.21","debit","Shopping","S10 FREE CHECKIN","",""
"5/01/2023","Withdrawal ACH PAYPAL TYPE: INST XFER ID: PAYPALSI77 CO: PAYPAL NAME: CHRISTA SMILEY","Withdrawal ACH PAYPAL TYPE: INST XFER ID: PAYPALSI77 CO: PAYPAL NAME: CHRISTA SMILEY","17.09","debit","Shopping","S10 FREE CHECKIN","",""
"4/22/2023","Withdrawal Debit Card Check Card MEMO'S MEXICAN REST LAKEWOOD WA","Withdrawal Debit Card Check Card MEMO'S MEXICAN REST LAKEWOOD WA","11.56","debit","Restaurants","S10 FREE CHECKIN","",""
"4/03/2023","Withdrawal ACH PAYPAL TYPE: INST XFER ID: PAYPALSI77 CO: PAYPAL NAME: CHRISTA SMILEY","Withdrawal ACH PAYPAL TYPE: INST XFER ID: PAYPALSI77 CO: PAYPAL NAME: CHRISTA SMILEY","28.75","debit","Shopping","S10 FREE CHECKIN","",""
"4/03/2023","Withdrawal POS #309321017815 POS WALGREENS STORE 8224 ST LAKEWOOD WA","Withdrawal POS #309321017815 POS WALGREENS STORE 8224 ST LAKEWOOD WA","12.44","debit","Pharmacy","S10 FREE CHECKIN","",""
"3/31/2023","Withdrawal POS #309101293433 POS BURLINGTON STORES 446 TACOMA WA","Withdrawal POS #309101293433 POS BURLINGTON STORES 446 TACOMA WA","20.86","debit","Clothing","S10 FREE CHECKIN","",""
"3/30/2023","Withdrawal ACH PAYPAL TYPE: INST XFER ID: PAYPALSI77 CO: PAYPAL NAME: CHRISTA SMILEY","Withdrawal ACH PAYPAL TYPE: INST XFER ID: PAYPALSI77 CO: PAYPAL NAME: CHRISTA SMILEY","17.09","debit","Shopping","S10 FREE CHECKIN","",""
"3/19/2023","Withdrawal Debit Card Check Card BCF Etsy Uplift 718-4807500 NY","Withdrawal Debit Card Check Card BCF Etsy Uplift 718-4807500 NY","0.55","debit","Shopping","S10 FREE CHECKIN","",""
"3/19/2023","Withdrawal Debit Card Check Card Etsy.com - Multiple Sho 718-8557955 NY","Withdrawal Debit Card Check Card Etsy.com - Multiple Sho 718-8557955 NY","177.45","debit","Shopping","S10 FREE CHECKIN","",""
"3/18/2023","Withdrawal POS #307719673060 POS SAFEWAY #3411 TACOMA WA","Withdrawal POS #307719673060 POS SAFEWAY #3411 TACOMA WA","17.43","debit","Groceries","S10 FREE CHECKIN","",""
"3/18/2023","Withdrawal POS #307719974651 POS SAFEWAY #3411 TACOMA WA","Withdrawal POS #307719974651 POS SAFEWAY #3411 TACOMA WA","52.79","debit","Groceries","S10 FREE CHECKIN","",""
"3/18/2023","Withdrawal POS #307719373304 POS SAFEWAY #3411 TACOMA WA","Withdrawal POS #307719373304 POS SAFEWAY #3411 TACOMA WA","7.54","debit","Groceries","S10 FREE CHECKIN","",""
"3/16/2023","Deposit Home Banking Transfer From Share 00 TRANSFER","Deposit Home Banking Transfer From Share 00 TRANSFER","300.00","credit","Transfer","S10 FREE CHECKIN","",""
"3/14/2023","Withdrawal","Withdrawal","100.00","debit","Cash & ATM","S10 FREE CHECKIN","",""
"3/01/2023","Withdrawal ACH PAYPAL TYPE: INST XFER ID: PAYPALSI77 CO: PAYPAL NAME: CHRISTA SMILEY","Withdrawal ACH PAYPAL TYPE: INST XFER ID: PAYPALSI77 CO: PAYPAL NAME: CHRISTA SMILEY","17.09","debit","Shopping","S10 FREE CHECKIN","",""
"2/21/2023","Withdrawal Debit Card Check Card STARBUCKS STORE 00311 TACOMA WA","Withdrawal Debit Card Check Card STARBUCKS STORE 00311 TACOMA WA","8.00","debit","Coffee Shops","S10 FREE CHECKIN","",""
"2/10/2023","Withdrawal Debit Card Check Card LIFE CENTER THRIFT STOR TACOMA WA","Withdrawal Debit Card Check Card LIFE CENTER THRIFT STOR TACOMA WA","20.68","debit","Shopping","S10 FREE CHECKIN","",""
"2/06/2023","Withdrawal POS #303700004691 POS FRED-MEYER #0615 FRED MEYER 615 UNIVERSITY PL WA","Withdrawal POS #303700004691 POS FRED-MEYER #0615 FRED MEYER 615 UNIVERSITY PL WA","90.80","debit","Groceries","S10 FREE CHECKIN","",""
"2/06/2023","Withdrawal Debit Card Check Card JERSEY MIKES 18053 TACOMA WA","Withdrawal Debit Card Check Card JERSEY MIKES 18053 TACOMA WA","44.74","debit","Fast Food","S10 FREE CHECKIN","",""
"2/04/2023","Withdrawal Debit Card Check Card USPS CHANGE OF ADDRESS 800-238-3150 TN","Withdrawal Debit Card Check Card USPS CHANGE OF ADDRESS 800-238-3150 TN","31.05","debit","Shipping","S10 FREE CHECKIN","",""
"1/30/2023","Withdrawal ACH PAYPAL TYPE: INST XFER ID: PAYPALSI77 CO: PAYPAL NAME: CHRISTA SMILEY","Withdrawal ACH PAYPAL TYPE: INST XFER ID: PAYPALSI77 CO: PAYPAL NAME: CHRISTA SMILEY","175.15","debit","Shopping","S10 FREE CHECKIN","",""
"1/30/2023","Withdrawal ACH PAYPAL TYPE: INST XFER ID: PAYPALSI77 CO: PAYPAL NAME: CHRISTA SMILEY","Withdrawal ACH PAYPAL TYPE: INST XFER ID: PAYPALSI77 CO: PAYPAL NAME: CHRISTA SMILEY","17.09","debit","Shopping","S10 FREE CHECKIN","",""
"1/29/2023","Deposit Home Banking Transfer From Share 00 TRANSFER","Deposit Home Banking Transfer From Share 00 TRANSFER","500.00","credit","Transfer","S10 FREE CHECKIN","",""
"1/29/2023","Withdrawal Debit Card Check Card TWEDE'S CAFE NORTH BEND WA","Withdrawal Debit Card Check Card TWEDE'S CAFE NORTH BEND WA","121.74","debit","Restaurants","S10 FREE CHECKIN","",""
"1/28/2023","Withdrawal POS #302821154179 POS SQ *DT VINTAGE & MORE... SQUARE PURCHASE NORTH BEND WA","Withdrawal POS #302821154179 POS SQ *DT VINTAGE & MORE... SQUARE PURCHASE NORTH BEND WA","79.57","debit","Restaurants","S10 FREE CHECKIN","",""
