"Date","Description","Original Description","Amount","Transaction Type","Category","Account Name","Labels","Notes"
"1/29/2023","Payments Home Banking Transfer From Share 10 TRANSFER","Payments Home Banking Transfer From Share 10 TRANSFER","50.00","credit","Transfer","SELECT VISA","",""
"3/08/2023","Payments Home Banking Transfer From Share 10 TRANSFER","Payments Home Banking Transfer From Share 10 TRANSFER","43.99","credit","Transfer","SELECT VISA","",""
"3/20/2023","Loan Advance Credit Card Credit Card ALANMACKSDENTISTRY 125-35928791 WA","Loan Advance Credit Card Credit Card ALANMACKSDENTISTRY 125-35928791 WA","572.80","debit","Credit Card Payment","SELECT VISA","",""
"4/12/2023","Payments Home Banking Transfer From Share 00 TRANSFER","Payments Home Banking Transfer From Share 00 TRANSFER","25.00","credit","Transfer","SELECT VISA","",""
"4/13/2023","Loan Advance Credit Card Credit Card RANGER TREE EXPERTS 253-678-3736 WA","Loan Advance Credit Card Credit Card RANGER TREE EXPERTS 253-678-3736 WA","2261.85","debit","Lawn & Garden","SELECT VISA","",""
"4/17/2023","Loan Advance Credit Card Credit Card BACK MARKET Brooklyn NY","Loan Advance Credit Card Credit Card BACK MARKET Brooklyn NY","88.99","debit","Credit Card Payment","SELECT VISA","",""
"4/20/2023","Loan Advance Credit Card Credit Card LOWES #00907* 866-483-7521 NC","Loan Advance Credit Card Credit Card LOWES #00907* 866-483-7521 NC","108.09","debit","Shopping","SELECT VISA","",""
"4/22/2023","Loan Advance Credit Card Credit Card TACOMA GOODWILL INDUST LAKEWOOD WA","Loan Advance Credit Card Credit Card TACOMA GOODWILL INDUST LAKEWOOD WA","118.00","debit","Shopping","SELECT VISA","",""
"4/26/2023","Loan Advance Credit Card Credit Card SQ *EMILY'S GARAGE TACO Tacoma WA","Loan Advance Credit Card Credit Card SQ *EMILY'S GARAGE TACO Tacoma WA","194.06","debit","Restaurants","SELECT VISA","",""
"5/02/2023","Payments Home Banking Transfer From Share 10 TRANSFER","Payments Home Banking Transfer From Share 10 TRANSFER","100.00","credit","Transfer","SELECT VISA","",""
"5/03/2023","Loan Advance Credit Card Credit Card MCDONALD'S F35934 TACOMA WA","Loan Advance Credit Card Credit Card MCDONALD'S F35934 TACOMA WA","19.95","debit","Fast Food","SELECT VISA","",""
"5/03/2023","Loan Advance Credit Card Credit Card TACOMA GOODWILL INDUST TACOMA WA","Loan Advance Credit Card Credit Card TACOMA GOODWILL INDUST TACOMA WA","73.00","debit","Shopping","SELECT VISA","",""
"5/03/2023","Loan Advance Credit Card Credit Card WM SUPERCENTER #4137 TACOMA WA","Loan Advance Credit Card Credit Card WM SUPERCENTER #4137 TACOMA WA","130.46","debit","Shopping","SELECT VISA","",""
"5/04/2023","Loan Advance Credit Card Credit Card NEW 2 YOU LLC PORT ORCHARD WA","Loan Advance Credit Card Credit Card NEW 2 YOU LLC PORT ORCHARD WA","73.78","debit","Credit Card Payment","SELECT VISA","",""
